"path"|"action"|"sdk"|"service"|"target"|"description"
"https://aws.github.io/aws-sdk-go-v2/docs/code-examples/sns/"|"section"|"go"|"sns"|"guide"|"This section contains code examples for Amazon SNS using version 2 of the AWS SDK for Go."
"https://aws.github.io/aws-sdk-go-v2/docs/code-examples/sns/createtopic/"|"CreateTopic"|"go"|"sns"|"guide"|"This code example creates an Amazon SNS topic."
"https://aws.github.io/aws-sdk-go-v2/docs/code-examples/sns/listsubscriptions/"|"ListSubscriptions"|"go"|"sns"|"guide"|"This code example displays the topic and subscription ARNs for your Amazon SNS subscriptions."
"https://aws.github.io/aws-sdk-go-v2/docs/code-examples/sns/listtopics/"|"ListTopics"|"go"|"sns"|"guide"|"This code example displays the ARNs for your Amazon SNS topics."
"https://aws.github.io/aws-sdk-go-v2/docs/code-examples/sns/publish/"|"Publish"|"go"|"sns"|"guide"|"This code example publishes a message to an Amazon SNS topic."
"https://aws.github.io/aws-sdk-go-v2/docs/code-examples/sns/subscribe/"|"Subscribe"|"go"|"sns"|"guide"|"This code example subscribes a user, by email address, to an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-java/latest/developer-guide/examples-simple-notification-service.html"|"section"|"java"|"sns"|"guide"|"This topic describes how to perform some of the basic functions of SNS."
"https://docs.aws.amazon.com/sdk-for-java/latest/developer-guide/examples-simple-notification-service.html#sns-create-topic"|"CreateTopic"|"java"|"sns"|"guide"|"This code example creates an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-java/latest/developer-guide/examples-simple-notification-service.html#sns-crelistate-topics"|"ListTopics"|"java"|"sns"|"guide"|"This code example displays the HTTP status code of the request and the ARNs for your Amazon SNS topics."
"https://docs.aws.amazon.com/sdk-for-java/latest/developer-guide/examples-simple-notification-service.html#sns-delete-topic"|"DeleteTopic"|"java"|"sns"|"guide"|"This code example deletes an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-java/latest/developer-guide/examples-simple-notification-service.html#sns-publish-message-topic"|"Publish"|"java"|"sns"|"guide"|"This code example publishes a message to an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-java/latest/developer-guide/examples-simple-notification-service.html#sns-subscribe-endpoint-topic"|"Subscribe"|"java"|"sns"|"guide"|"This code example subscribes a user, by email address, to an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-java/latest/developer-guide/examples-simple-notification-service.html#sns-unsubscribe-endpoint-topic"|"Unsubscribe"|"java"|"sns"|"guide"|"This code example removes a user's subscription to an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-javascript/v3/developer-guide/sns-examples-managing-topics.html#sns-examples-managing-topics-createtopic"|"CreateTopic"|"js"|"sns"|"guide"|"This code example creates an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-javascript/v3/developer-guide/sns-examples-managing-topics.html#sns-examples-managing-topics-deletetopic"|"DeleteTopic"|"js"|"sns"|"guide"|"This code example deletes an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-javascript/v3/developer-guide/sns-examples-managing-topics.html#sns-examples-managing-topics-listtopics"|"ListTopics"|"js"|"sns"|"guide"|"This code example displays information about your Amazon SNS topics."
"https://docs.aws.amazon.com/sdk-for-javascript/v3/developer-guide/sns-examples-managing-topics.html#sns-examples-managing-topicsgetttopicattributes"|"GetTopicAttributes"|"js"|"sns"|"guide"|"This code example displays the attributes of an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-javascript/v3/developer-guide/sns-examples-managing-topics.html#sns-examples-managing-topicsstttopicattributes"|"SetTopicAttributes"|"js"|"sns"|"guide"|"This code example sets the mutable attributes of an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-javascript/v3/developer-guide/sns-examples-publishing-messages.html"|"Publish"|"js"|"sns"|"guide"|"This code example publishes a message to an Amazon SNS topic."
